,post_id,score,user_id,view_count,comment_count,reputation,views,up_votes,down_votes
12,22179082,0,683553.0,14,2,36082,1723,1262,11
13,31927733,0,683553.0,12,0,36082,1723,1262,11
14,37471953,0,683553.0,19,0,36082,1723,1262,11
15,30404261,0,683553.0,15,0,36082,1723,1262,11
16,32661087,-1,683553.0,19,3,36082,1723,1262,11
17,36481424,0,3359782.0,16,2,3678,1019,128,104
18,33241833,0,3359782.0,14,0,3678,1019,128,104
19,28741957,0,3359782.0,20,2,3678,1019,128,104
20,36628652,0,3359782.0,18,0,3678,1019,128,104
27,31880901,0,5552.0,12,1,6170,730,1105,143
28,27185451,0,5552.0,11,0,6170,730,1105,143
56,35154609,0,38522.0,18,2,42081,3297,2329,269
57,24763792,0,38522.0,19,1,42081,3297,2329,269
58,33542204,0,38522.0,13,0,42081,3297,2329,269
59,32889015,0,38522.0,7,0,42081,3297,2329,269
60,33732365,0,38522.0,13,0,42081,3297,2329,269
61,34335316,0,38522.0,18,0,42081,3297,2329,269
62,37055352,2,38522.0,20,4,42081,3297,2329,269
63,34162465,1,38522.0,19,1,42081,3297,2329,269
64,31853183,0,38522.0,15,0,42081,3297,2329,269
65,37729403,0,38522.0,15,2,42081,3297,2329,269
66,31304513,0,38522.0,18,2,42081,3297,2329,269
67,28127067,0,38522.0,12,0,42081,3297,2329,269
68,32507199,0,38522.0,16,0,42081,3297,2329,269
69,33018072,-1,38522.0,19,1,42081,3297,2329,269
70,36920582,0,38522.0,14,1,42081,3297,2329,269
71,32328862,-1,38522.0,18,2,42081,3297,2329,269
72,32850215,0,38522.0,17,0,42081,3297,2329,269
73,36846139,0,38522.0,6,0,42081,3297,2329,269
74,31301174,-1,38522.0,10,1,42081,3297,2329,269
76,37211628,2,1517244.0,18,0,4172,224,1362,32
118,24939395,0,141022.0,19,0,14329,1086,2562,17
119,35887536,0,141022.0,15,0,14329,1086,2562,17
120,34963793,0,3697264.0,18,0,3760,1235,335,84
121,33799179,0,3697264.0,18,2,3760,1235,335,84
122,36007723,0,3697264.0,18,0,3760,1235,335,84
123,37011645,0,3697264.0,20,0,3760,1235,335,84
124,33786244,0,3697264.0,20,3,3760,1235,335,84
125,36196525,0,3697264.0,20,0,3760,1235,335,84
126,37633369,0,3697264.0,18,0,3760,1235,335,84
127,36448966,0,3697264.0,10,0,3760,1235,335,84
128,37321993,0,3697264.0,20,0,3760,1235,335,84
129,35841476,1,3697264.0,17,0,3760,1235,335,84
130,36641650,0,3697264.0,10,0,3760,1235,335,84
131,36624645,0,3697264.0,13,0,3760,1235,335,84
144,34888017,0,31667.0,10,3,29380,2503,1301,327
145,36572706,2,31667.0,20,0,29380,2503,1301,327
146,33771746,1,31667.0,10,0,29380,2503,1301,327
154,34651536,0,1446086.0,20,3,3626,264,1681,18
155,36407423,0,1446086.0,18,2,3626,264,1681,18
164,34118493,0,1499072.0,13,0,2133,347,1970,13
165,35837533,1,1499072.0,9,0,2133,347,1970,13
166,36560530,0,1499072.0,18,6,2133,347,1970,13
181,36869680,0,11755.0,20,0,22166,2569,471,56
182,35864852,-1,11755.0,18,0,22166,2569,471,56
183,34769995,0,11755.0,14,2,22166,2569,471,56
184,37717428,0,11755.0,16,1,22166,2569,471,56
185,24308175,0,11755.0,20,1,22166,2569,471,56
186,37676475,1,11755.0,14,0,22166,2569,471,56
187,37304406,0,11755.0,10,0,22166,2569,471,56
188,32668104,0,11755.0,13,0,22166,2569,471,56
189,35379672,0,11755.0,15,1,22166,2569,471,56
190,36576270,0,11755.0,18,0,22166,2569,471,56
191,37597066,0,11755.0,16,3,22166,2569,471,56
192,35486262,-1,11755.0,15,1,22166,2569,471,56
193,37701416,0,11755.0,18,0,22166,2569,471,56
194,18732925,0,11755.0,14,0,22166,2569,471,56
195,35853378,1,11755.0,17,0,22166,2569,471,56
196,36411189,0,11755.0,20,0,22166,2569,471,56
200,29386926,0,2541.0,20,2,13009,3873,1943,270
201,37120260,-1,1041364.0,14,0,3501,383,327,604
202,33892309,0,1041364.0,20,2,3501,383,327,604
203,30851022,0,287893.0,14,1,5372,690,1197,106
204,30854868,0,287893.0,18,0,5372,690,1197,106
210,27375605,0,21061.0,19,3,29247,2460,1600,484
211,35343186,2,21061.0,17,0,29247,2460,1600,484
212,37149731,0,21061.0,13,2,29247,2460,1600,484
213,30335961,1,404568.0,19,11,11753,1003,373,67
214,35212468,0,404568.0,14,0,11753,1003,373,67
215,28997904,0,404568.0,19,0,11753,1003,373,67
216,37764847,0,499699.0,9,4,11660,682,1441,24
223,35300221,0,2038544.0,19,5,7608,547,2110,73
227,33758207,-1,630780.0,15,0,7347,655,331,972
228,34682531,0,630780.0,14,1,7347,655,331,972
229,37618192,0,630780.0,19,0,7347,655,331,972
230,27017336,0,630780.0,19,0,7347,655,331,972
236,37489765,0,2422230.0,13,0,5840,285,1521,26
237,33656213,0,2422230.0,17,4,5840,285,1521,26
238,37499499,0,2422230.0,18,0,5840,285,1521,26
239,33078084,1,1006010.0,12,1,56330,2751,5581,1
242,35725444,0,1084416.0,10,0,19698,4817,3191,2692
248,25503699,0,846476.0,17,2,13542,776,2598,32
249,34819144,0,846476.0,12,0,13542,776,2598,32
250,37118519,0,846476.0,8,0,13542,776,2598,32
251,31809898,0,846476.0,11,0,13542,776,2598,32
252,25253387,0,846476.0,19,0,13542,776,2598,32
261,35086108,0,389828.0,19,3,4272,397,1553,23
