,user_id,reputation,views,up_votes,down_votes,post_id,score,view_count,comment_count
225,6449207,3,0,0,0,37744421,0,15,0
17,126280,11837,1054,40,2,30482433,0,19,2
18,126280,11837,1054,40,2,26022165,0,16,2
19,126280,11837,1054,40,2,25078765,0,20,2
20,126280,11837,1054,40,2,37462148,0,13,1
21,126280,11837,1054,40,2,32913070,0,20,0
30,37947,58371,3667,2248,574,37466249,0,19,0
33,15825,21815,1305,2100,28,31291218,0,19,0
44,789657,13685,4473,920,778,35155919,2,13,0
80,17440,11127,702,144,36,28203036,1,12,0
82,398939,10488,714,644,10,14647091,1,16,0
95,6068,244872,11737,934,98,36953621,0,11,0
96,6068,244872,11737,934,98,33842576,0,6,0
97,6068,244872,11737,934,98,37330755,0,10,0
98,6068,244872,11737,934,98,29285164,1,17,0
99,6068,244872,11737,934,98,37093383,1,11,0
100,6068,244872,11737,934,98,37257134,1,18,0
101,6068,244872,11737,934,98,36912191,0,19,0
103,3189,14293,743,1880,18,25159341,0,17,0
104,38522,42081,3297,2329,269,35154609,0,18,2
105,38522,42081,3297,2329,269,24763792,0,19,1
106,38522,42081,3297,2329,269,33542204,0,13,0
107,38522,42081,3297,2329,269,32889015,0,7,0
108,38522,42081,3297,2329,269,33732365,0,13,0
109,38522,42081,3297,2329,269,34335316,0,18,0
110,38522,42081,3297,2329,269,37055352,2,20,4
111,38522,42081,3297,2329,269,34162465,1,19,1
112,38522,42081,3297,2329,269,31853183,0,15,0
113,38522,42081,3297,2329,269,37729403,0,15,2
114,38522,42081,3297,2329,269,31304513,0,18,2
115,38522,42081,3297,2329,269,28127067,0,12,0
116,38522,42081,3297,2329,269,32507199,0,16,0
117,38522,42081,3297,2329,269,33018072,-1,19,1
118,38522,42081,3297,2329,269,36920582,0,14,1
119,38522,42081,3297,2329,269,32328862,-1,18,2
120,38522,42081,3297,2329,269,32850215,0,17,0
121,38522,42081,3297,2329,269,36846139,0,6,0
122,38522,42081,3297,2329,269,31301174,-1,10,1
123,499699,11660,682,1441,24,37764847,0,9,4
129,276193,13076,809,1697,46,37379076,0,17,0
142,509706,23569,1575,1908,18,32074632,1,19,2
151,26107,17578,821,373,11,36383540,0,17,4
168,404568,11753,1003,373,67,30335961,1,19,11
169,404568,11753,1003,373,67,35212468,0,14,0
170,404568,11753,1003,373,67,28997904,0,19,0
177,3436942,20885,2563,1365,759,26841113,0,19,0
204,1822164,19545,2847,787,623,34573995,0,20,1
244,1084416,19698,4817,3191,2692,35725444,0,10,0
246,180430,12785,1059,4846,320,37252735,0,15,0
247,1153938,27009,1539,626,355,31612292,0,10,0
249,191463,50154,2531,498,197,34476742,0,18,0
250,191463,50154,2531,498,197,36572155,1,12,1
291,15371,23009,1374,2474,595,33067682,0,18,0
292,15371,23009,1374,2474,595,30827959,1,17,0
293,15371,23009,1374,2474,595,34655850,0,19,0
294,156755,24254,5441,3901,294,15047053,0,16,4
306,13744,48044,3407,7886,1046,33372277,0,12,0
313,436028,27495,2924,984,50,36176739,0,20,0
314,436028,27495,2924,984,50,36691114,1,19,0
315,14357,99633,8970,2418,1498,33375247,0,12,1
316,14357,99633,8970,2418,1498,13199838,0,20,0
321,16511,64812,5111,2549,272,30871945,0,15,0
326,2120261,23011,1014,3851,23,37213268,0,15,0
