user_id,post_id,reputation,views,up_votes,down_votes,score,view_count,comment_count
450456,34989087,,3598,,,,,
450456,4142174,,3598,,,,,
1517244,37211628,,,1362,,2,,
1870509,30260248,,,,,1,,4
421039,37075759,,,,,1,,
2613662,33430762,,,,,1,,
2996198,37452857,,,,,1,,
2656101,37252377,,,,,2,,
1483434,34120041,,,,,,,3
541667,37570053,,,,,1,,
1847261,37390645,,,,,2,,
3457558,37212237,,,,,,,4
4026748,35770975,,,,,1,,
37947,37466249,58371,3667,2248,574,,,
1076743,33428716,,1225,,121,,,
1076743,15036385,,1225,,121,,,
15825,31291218,21815,1305,2100,,,,
356582,29296556,,,,,,,5
199111,33754832,,,1171,,1,,
2000012,30211868,,,,,1,,
6133746,37378752,,,,,2,,
789657,35155919,13685,4473,920,778,2,,
4675736,37632930,,1285,,,,,
4675736,35196642,,1285,,,,,
4675736,35539032,,1285,,,,,
4675736,37466014,,1285,,,,,
4675736,37641151,,1285,,,,,
4675736,37562121,,1285,,,,,
4675736,37549204,,1285,,,1,,3
2452680,36116684,,1332,,,,,
2452680,36550069,,1332,,,,,
2452680,35673593,,1332,,,,,
1807486,37012837,,,,,-1,,
2957677,35951221,,,,,,,4
228674,37136021,,,,,1,,
228674,35893828,,,,,,,4
370092,37756055,,,,,,,6
370092,37762285,,,,,1,,
386465,31029014,,,,,3,,
1983698,28761705,,,,,1,,
2253888,37593273,,,,,2,,
17440,28203036,,,,,1,,
398939,14647091,,,,,1,,
1050179,32904121,,,,,,,3
25102,34686600,,,,,1,,
4174195,33368053,,,,,,,8
4174195,36544611,,,,,,,3
4174195,37542021,,,,,1,,
4174195,36473015,,,,,,,3
6068,36953621,244872,11737,934,98,,,
6068,33842576,244872,11737,934,98,,,
6068,37330755,244872,11737,934,98,,,
6068,29285164,244872,11737,934,98,1,,
6068,37093383,244872,11737,934,98,1,,
6068,37257134,244872,11737,934,98,1,,
6068,36912191,244872,11737,934,98,,,
1553674,36065840,,,,,1,,3
3189,25159341,14293,,1880,,,,
38522,35154609,42081,3297,2329,269,,,
38522,24763792,42081,3297,2329,269,,,
38522,33542204,42081,3297,2329,269,,,
38522,32889015,42081,3297,2329,269,,,
38522,33732365,42081,3297,2329,269,,,
38522,34335316,42081,3297,2329,269,,,
38522,37055352,42081,3297,2329,269,2,,4
38522,34162465,42081,3297,2329,269,1,,
38522,31853183,42081,3297,2329,269,,,
38522,37729403,42081,3297,2329,269,,,
38522,31304513,42081,3297,2329,269,,,
38522,28127067,42081,3297,2329,269,,,
38522,32507199,42081,3297,2329,269,,,
38522,33018072,42081,3297,2329,269,-1,,
38522,36920582,42081,3297,2329,269,,,
38522,32328862,42081,3297,2329,269,-1,,
38522,32850215,42081,3297,2329,269,,,
38522,36846139,42081,3297,2329,269,,,
38522,31301174,42081,3297,2329,269,-1,,
499699,37764847,,,1441,,,,4
2529106,37137433,,,,,,,4
276193,37379076,13076,,1697,,,,
1019893,33319789,,,,,-1,,
2450935,25444176,,,,,,,3
2450935,36681433,,,,,1,,
2450935,37395381,,,,,,,3
2450935,34316783,,,,,,,3
67316,32864875,,,979,96,,,
1630136,32347669,,,,,1,,
1630136,33218309,,,,,1,,
509706,32074632,23569,1575,1908,,1,,
546060,20571259,,,,,1,,
5558115,33723611,,,,,1,,3
5558115,33750601,,,,,,,5
26107,36383540,17578,,,,,,4
63286,35454276,,,,,1,,
1246086,21838977,,,,,1,,
1246086,34638858,,,,,,,3
3395049,25267915,,,,,,,3
3033149,30007581,,,,,,,3
3482098,32974547,,,,,,,10
1369663,35485275,,,,,1,,
3779507,37744866,,,,,-1,,4
404568,30335961,,,,67,1,,11
404568,35212468,,,,67,,,
404568,28997904,,,,67,,,
2420976,33156241,,,,,,,6
287893,30851022,,,1197,106,,,
287893,30854868,,,1197,106,,,
1284680,37264605,,,,,,,3
3436942,26841113,20885,2563,1365,759,,,
598832,34005121,,,,,-1,,7
1527537,36699401,,,,,,,3
2283946,34933952,,,,558,,,
2283946,35913125,,,,558,1,,
2909759,21902865,,,,,1,,
5871859,35601773,,,,170,,,
2816909,26168362,,,,,-1,,6
701867,34974552,,,,,-1,,
1341935,33289533,,,,,-1,,
1822164,34573995,19545,2847,,623,,,
3310334,36970705,,1435,,114,-1,,
5545882,35920341,,,,,,,4
245456,37346242,,,,,-1,,
4867351,33882330,,,,,1,,
6118448,37667739,,,,,-7,,4
4083332,32692711,,,,,1,,
5679437,34275641,,,,,,,10
2733145,34973983,,,,,1,,
1474603,36764905,,,,,1,,
3054080,23175988,,,,,,,3
5661248,37505148,,,,,-2,,
5521462,33506605,,,,,1,,
3861272,36528641,,,,,1,,
3861272,37531244,,,,,,3,
1279002,34399618,,,,,1,,
369313,32927792,,,,,,,7
1084416,35725444,19698,4817,3191,2692,,,
4366879,35795018,,,,,2,,
180430,37252735,12785,,4846,320,,,
1153938,31612292,27009,1539,,355,,,
32027,31429120,,,,,-1,,
191463,34476742,50154,2531,,197,,,
191463,36572155,50154,2531,,197,1,,
265431,24261972,,,,,1,,
265431,35721007,,,,,1,,3
265431,33942986,,,,,1,,3
2053929,15003058,,,,,,,4
2130106,36328567,,,,,1,,
11801,31404696,,,,,1,,
1261079,27809370,,,,,,,3
1584074,31640105,,,,,1,,
3009613,37003440,,,,,1,,5
3009613,37205770,,,,,-1,,
1041364,37120260,,,,604,-1,,
1041364,33892309,,,,604,,,
547239,37545896,,,,,1,,
351170,23942331,,,,,1,,
351170,34833616,,,,,-1,,3
15371,33067682,23009,1374,2474,595,,,
15371,30827959,23009,1374,2474,595,1,,
15371,34655850,23009,1374,2474,595,,,
156755,15047053,24254,5441,3901,294,,,4
694659,37073281,,,,,2,,
93910,28745824,,,2923,70,,,
3464127,37241415,,,,,-1,,
13744,33372277,48044,3407,7886,1046,,,
436028,36176739,27495,2924,984,,,,
436028,36691114,27495,2924,984,,1,,
14357,33375247,99633,8970,2418,1498,,,
14357,13199838,99633,8970,2418,1498,,,
4332108,37121652,,,,,-1,,
16511,30871945,64812,5111,2549,272,,,
2046646,36152790,,,,,,,3
2046646,25962821,,,,,,,5
2120261,37213268,23011,,3851,,,,
2120261,23653190,23011,,3851,,1,,
1486242,20188542,,,,,,,4
3697264,34963793,,1235,,84,,,
3697264,33799179,,1235,,84,,,
3697264,36007723,,1235,,84,,,
3697264,37011645,,1235,,84,,,
3697264,33786244,,1235,,84,,,3
3697264,36196525,,1235,,84,,,
3697264,37633369,,1235,,84,,,
3697264,36448966,,1235,,84,,,
3697264,37321993,,1235,,84,,,
3697264,35841476,,1235,,84,1,,
3697264,36641650,,1235,,84,,,
3697264,36624645,,1235,,84,,,
274,37544056,36943,1983,,,1,,
274,35012155,36943,1983,,,,,
1972453,37681540,,,,,1,,
2126810,26663431,,,,,-1,,4
2961662,33358857,,,,,1,,
4086467,33725777,,,,,1,,
4086467,33302016,,,,,1,,3
463978,28411641,,,1260,,,,3
218208,35920077,,,,,,,3
285190,35015334,,,1524,52,,,
285190,36471428,,,1524,52,,,
3518938,33318250,,,,,1,,5
4654199,31515621,,,,60,,,
17194,35775545,,,,,1,,
3291266,37742555,,,,,,,4
21061,27375605,29247,2460,1600,484,,,3
21061,35343186,29247,2460,1600,484,2,,
21061,37149731,29247,2460,1600,484,,,
84539,29264697,34029,2350,,,,,
3930191,36991120,,,,,,,3
5342829,32611955,,,,,1,,
4673637,29189897,,,,,-2,,
6370885,37390252,,,,,-1,,
3619866,37663626,,,,,1,,
6337354,37487307,,,,,,,5
5979431,37619648,,,,,,,3
2711360,30048854,,,,,1,,
1900967,30328976,,,,,1,,
2946932,32571034,,,,,,,3
1783194,35813010,,,,,,,3
699224,37410831,38974,3950,1754,812,,,
1718543,33678023,,,,,1,,
4258956,31784035,,,,,1,,
4258956,32184709,,,,,,,3
6084936,36386369,,,,,,,3
1700106,37482402,,,1203,,1,,10
381158,36895839,,,2095,,,,
381158,36340455,,,2095,,,,
1650337,33824330,,,,,-1,,
2422218,37690793,,,,,-1,,3
2907645,31307151,,,,,1,,
2907645,31621544,,,,,,,4
531341,34035791,,,,,,,4
2135219,32698335,,,,,1,,3
102441,35397328,81684,6553,2603,740,,,
102441,36923309,81684,6553,2603,740,,,
102441,35873641,81684,6553,2603,740,1,,
102441,35566927,81684,6553,2603,740,,,
2664985,37620701,,,,238,,,
846476,25503699,13542,,2598,,,,
846476,34819144,13542,,2598,,,,
846476,37118519,13542,,2598,,,,
846476,31809898,13542,,2598,,,,
846476,25253387,13542,,2598,,,,
2245934,32288752,,,,,1,,4
3545704,32227672,,,,,1,,
389828,35086108,,,1553,,,,3
2422230,37489765,,,1521,,,,
2422230,33656213,,,1521,,,,4
2422230,37499499,,,1521,,,,
4631427,36282540,,1286,1200,1014,,,
5045227,34004091,,,,133,,,5
5045227,37762861,,,,133,,,
5045227,34471653,,,,133,,,
5045227,37332044,,,,133,,,
5045227,35531842,,,,133,1,,
5045227,34379636,,,,133,,,
5045227,37735653,,,,133,,,
5552,31880901,,,1105,143,,,
5552,27185451,,,1105,143,,,
3032288,35552024,,,,,2,,3
3894430,35307030,,,,,1,,
3894430,37240492,,,,,-1,,
1168239,35685882,,,,,-1,,
3677259,28294230,,,,,,,5
1182608,36981248,,,,,1,,
1182608,37227165,,,,,1,,
3625467,36837400,,,,,3,,
1229237,34362594,,,3753,,,,
1229237,36724546,,,3753,,,,
732761,35044848,,,,,1,,
1203146,36499707,,,,,1,,
1203146,35951816,,,,,1,,
2911232,23942030,,,,,1,,
1134275,35813179,,,,,1,,6
285549,37005477,,,,,1,,
630780,33758207,,,,972,-1,,
630780,34682531,,,,972,,,
630780,37618192,,,,972,,,
630780,27017336,,,,972,,,
1124744,35601524,,,1607,81,,,
1124744,31167343,,,1607,81,,,
1124744,35243063,,,1607,81,,,
26201,21574826,,,,,1,,
1596371,34472733,,,,,1,,
1596371,36988426,,,,,1,,
275501,35106627,26898,,,,1,,
366336,34763618,,,,,2,,
5319918,37223575,,,,,,,3
6144451,36960797,,,,,,,3
1526032,35458496,,,,,1,,
4592852,36935599,,,,,1,,
153422,31383988,31601,2998,1176,102,,,
1006010,33078084,56330,2751,5581,,1,,
637609,30461043,,,1095,,,,
11898,36445618,50053,2456,1573,,1,,
11898,26648659,50053,2456,1573,,1,,
296346,36741987,,,,,1,,4
400691,33904826,,,1869,,,,7
410636,34719924,42200,3858,1793,796,,,
1776732,36569814,,,,,,,4
3449597,34843079,,,,,,,4
1000,33688028,,2366,2628,,,,
3747674,29416967,,,,,1,,8
3749729,36988899,,,,,-1,,
5700339,36046457,,,,,1,,
5336859,33230454,,,,,1,,
2608644,36448734,,,,,1,,
2950580,34983378,,,,,1,,
6437549,37690902,,,,,1,,
2841267,36780983,,,,,1,,
4960774,35367961,,,,,3,,
4960774,37072355,,,,,1,,
2420913,36480588,,,,,,,4
48886,36114490,18150,1265,,,,,
33051,37393059,25258,3293,3037,,,,
4177694,36581912,,,,,,,4
4754758,36742937,,,,,,,6
178757,33632499,21285,1388,,74,,,
1970448,33149408,,,,,,,5
2840178,23322532,,,,,,,7
141022,24939395,14329,,2562,,,,
141022,35887536,14329,,2562,,,,
6357705,37577086,,,,,1,,
6357705,37467363,,,,,,,5
1607383,36367891,,,,,1,,
1185534,35163431,,,,72,,,
3675617,24025060,,,,,,,3
