id,tmax,tmin,date
MX17004,27.8,14.5,2010/01/30
MX17004,29.7,13.4,2010/02/11
MX17004,27.3,14.4,2010/02/02
MX17004,29.9,10.7,2010/02/23
MX17004,24.1,14.4,2010/02/03
MX17004,34.5,16.8,2010/03/10
MX17004,31.1,17.6,2010/03/16
MX17004,32.1,14.2,2010/03/05
MX17004,36.3,16.7,2010/04/27
MX17004,33.2,18.2,2010/05/27
MX17004,28.0,17.5,2010/06/17
MX17004,30.1,18.0,2010/06/29
MX17004,29.9,16.5,2010/07/14
MX17004,28.6,17.5,2010/07/03
MX17004,29.8,16.5,2010/08/13
MX17004,26.4,15.0,2010/08/23
MX17004,29.7,15.6,2010/08/25
MX17004,28.0,15.3,2010/08/29
MX17004,25.4,15.4,2010/08/31
MX17004,29.6,15.8,2010/08/05
MX17004,29.0,17.3,2010/08/08
MX17004,29.5,13.0,2010/10/14
MX17004,28.7,10.5,2010/10/15
MX17004,31.2,15.0,2010/10/28
MX17004,27.0,14.0,2010/10/05
MX17004,28.1,12.9,2010/10/07
MX17004,31.3,16.3,2010/11/02
MX17004,28.1,12.1,2010/11/26
MX17004,27.7,14.2,2010/11/27
MX17004,27.2,12.0,2010/11/04
MX17004,26.3,7.9,2010/11/05
MX17004,29.9,13.8,2010/12/01
MX17004,27.8,10.5,2010/12/06
